Objektbez,Jahr,namident,sprcode,Geschlecht,gebjahr,todjahr,ausstellungen,events,performances,literatur,rating,NATIONALITAET
Ölmalerei,1910,"Morach, Otto",DEU,M,1887,1973,68,0,0,88,****,CH
Ölmalerei,1910,"Morach, Otto",DEU,M,1887,1973,68,0,0,88,****,CH
Skulptur,1926,"Morach, Otto",DEU,M,1887,1973,68,0,0,88,****,CH
Ölmalerei,1916,"Morach, Otto",DEU,M,1887,1973,68,0,0,88,****,CH
Ölmalerei,1913,"Morach, Otto",DEU,M,1887,1973,68,0,0,88,****,CH
Bleistiftzeichnung,1913,"Morach, Otto",DEU,M,1887,1973,68,0,0,88,****,CH
Ölmalerei,1922,"Morach, Otto",DEU,M,1887,1973,68,0,0,88,****,CH
Ölmalerei,1909,"Morach, Otto",DEU,M,1887,1973,68,0,0,88,****,CH
Gouache,1917,"Morach, Otto",DEU,M,1887,1973,68,0,0,88,****,CH
Ölmalerei,1924,"Morach, Otto",DEU,M,1887,1973,68,0,0,88,****,CH
Ölmalerei,1927,"Morach, Otto",DEU,M,1887,1973,68,0,0,88,****,CH
Ölmalerei,1913,"Morach, Otto",DEU,M,1887,1973,68,0,0,88,****,CH
Ölmalerei,1905,"Morach, Otto",DEU,M,1887,1973,68,0,0,88,****,CH
Bleistiftzeichnung,1925,"Zeller, Eugen Georg",DEU,M,1889,1974,24,0,0,26,***,CH
Ölmalerei,1927,"Kündig, Reinhold",DEU,M,1888,1984,52,0,0,62,***,CH
Ölmalerei,1910,"Kündig, Reinhold",DEU,M,1888,1984,52,0,0,62,***,CH
Bronzeplastik,1886,"Leu, Max",DEU,M,1862,1899,3,0,0,10,***,CH
Ölmalerei,1943,"Dietrich, Adolf",DEU,M,1877,1957,52,1,0,80,*****,CH
Ölmalerei,1926,"Dietrich, Adolf",DEU,M,1877,1957,52,1,0,80,*****,CH
Ölmalerei,1927,"Dietrich, Adolf",DEU,M,1877,1957,52,1,0,80,*****,CH
Ölmalerei,1942,"Dietrich, Adolf",DEU,M,1877,1957,52,1,0,80,*****,CH
Ölmalerei,1927,"Dietrich, Adolf",DEU,M,1877,1957,52,1,0,80,*****,CH
Ölmalerei,1950,"Dietrich, Adolf",DEU,M,1877,1957,52,1,0,80,*****,CH
Ölmalerei,1924,"Dietrich, Adolf",DEU,M,1877,1957,52,1,0,80,*****,CH
Ölmalerei,1950,"Dietrich, Adolf",DEU,M,1877,1957,52,1,0,80,*****,CH
Ölmalerei,1934,"Dietrich, Adolf",DEU,M,1877,1957,52,1,0,80,*****,CH
